date,close,volume,count,capital
2011-03-09,144.87,605139000,259356,28573224000
2011-03-10,143.3,574814000,242911,28397553000
2011-03-11,142.49,501151000,216407,23244328000
2011-03-14,138.99,536878000,223199,23285867000
2011-03-15,132.37,776736000,284225,31582914000
2011-03-16,133.99,582111000,235843,26601941000
2011-03-17,132.31,538258000,212629,24792815000
2011-03-18,135.07,486797000,199269,21969770000
2011-03-21,136.41,405671000,172397,17457843000
2011-03-22,138.19,462995000,193849,20213772000
2011-03-23,138.99,442275000,190157,20166603000
2011-03-24,139.83,505508000,204608,20884278000
2011-03-25,139.03,518852000,213159,21818898000
2011-03-28,137.72,415079000,177788,16254981000
2011-03-29,137.83,364523000,153653,14247716000
2011-03-30,138.49,390355000,163573,15772565000
2011-03-31,138.92,389788000,164188,16000949000
2011-04-01,139.87,376891000,160373,15456158000
2011-04-06,141.15,495987000,197854,20755235000
2011-04-07,142.33,462213000,189429,19506876000
2011-04-08,142.07,509314000,205986,20738832000
2011-04-11,141.55,446626000,181122,18062388000
2011-04-12,139.38,427460000,182445,18733852000
2011-04-13,139.62,413266000,177310,17854085000
2011-04-14,141.05,467486000,205279,20232187000
2011-04-15,139.67,471686000,210877,21000803000
2011-04-18,138.3,407422000,183764,18998807000
2011-04-19,137.55,388604000,172005,16158845000
2011-04-20,138.96,438068000,195821,20094596000
2011-04-21,140.0,552550000,221645,23423535000
2011-04-22,141.04,453397000,201076,21172352000
2011-04-25,140.83,451543000,188485,18194617000
2011-04-26,140.94,402288000,176976,17085901000
2011-04-27,141.44,468255000,195367,19858995000
2011-04-28,140.52,508119000,198661,20463515000
2011-04-29,138.65,602032000,242334,26659805000
2011-05-03,136.14,489987000,199995,21098399000
2011-05-04,138.1,455513000,197121,20476944000
2011-05-05,138.9,578198000,235485,25432311000
2011-05-06,138.95,493837000,210143,22673134000
2011-05-09,139.2,479711000,199109,20449145000
2011-05-10,138.99,515317000,206736,22268366000
2011-05-11,138.17,532886000,206293,22952141000
2011-05-12,138.3,458211000,184862,19353702000
2011-05-13,138.93,549262000,225381,24739413000
2011-05-16,137.75,391743000,163460,17064854000
2011-05-17,137.02,388072000,165440,16824924000
2011-05-18,138.31,420692000,176823,19094926000
2011-05-19,138.28,471713000,197472,21674367000
2011-05-20,136.73,456535000,198750,20471826000
2011-05-23,135.55,409057000,173700,17148030000
2011-05-24,135.12,394975000,174543,17023219000
2011-05-25,135.17,361954000,157703,15625034000
2011-05-26,136.81,409506000,179661,18566838000
2011-05-27,137.5,408032000,190015,19700863000
2011-05-30,137.75,377842000,164664,16709175000
2011-05-31,139.81,517532000,211848,24843697000
2011-06-01,140.58,512242000,225741,26560661000
2011-06-02,139.53,430937000,189006,21007843000
2011-06-03,140.12,449095000,202567,22279505000
2011-06-07,140.56,392865000,174394,18265293000
