date,open,high,low,close
2016-11-03,123.06,123.49,121.5,121.71
2016-11-04,121.63,122.26,121.28,121.61
2016-11-07,121.71,122.43,121.71,121.92
2016-11-08,122.03,122.57,120.92,121.78
2016-11-09,121.86,122.08,117.2,117.36
2016-11-10,117.82,121.53,117.82,121.51
2016-11-11,121.31,121.31,119.51,120.14
2016-11-14,120.06,120.08,118.69,119.52
2016-11-15,119.46,119.85,119.2,119.6
2016-11-16,119.7,120.38,119.7,119.85
2016-11-17,119.91,120.06,119.34,119.8
2016-11-18,119.86,120.85,119.86,120.84
2016-11-21,120.84,121.34,120.84,121.23
2016-11-22,121.31,122.46,121.31,122.09
2016-11-23,122.14,122.86,122.09,122.15
2016-11-24,122.15,122.65,121.99,122.02
2016-11-25,122.1,122.62,122.1,122.25
2016-11-28,122.31,122.9,122.31,122.59
2016-11-29,122.57,123.0,122.57,122.72
2016-11-30,122.82,123.24,122.55,122.88
2016-12-01,122.9,123.41,122.76,122.76
2016-12-02,122.68,122.68,121.96,122.08
2016-12-05,122.14,122.54,122.03,122.43
2016-12-06,122.54,123.48,122.54,123.02
2016-12-07,123.1,123.48,123.1,123.32
2016-12-08,123.48,124.41,123.48,124.05
2016-12-09,124.11,124.59,124.11,124.25
2016-12-12,124.31,124.71,123.29,123.29
2016-12-13,123.24,123.6,123.24,123.57
2016-12-14,123.63,124.57,123.63,124.23
2016-12-15,124.21,124.46,123.82,124.23
2016-12-16,124.27,124.96,124.27,124.76
2016-12-19,124.74,125.13,123.7,123.77
2016-12-20,123.82,124.28,123.31,123.67
2016-12-21,123.71,124.2,123.49,123.49
2016-12-22,123.49,124.01,123.24,123.24
2016-12-23,123.22,123.9,122.95,122.95
2016-12-26,123.04,123.53,122.83,122.95
2016-12-27,122.98,123.4,122.98,123.35
2016-12-28,123.5,124.32,123.49,124.13
2016-12-29,124.13,124.69,123.99,124.58
2016-12-30,124.66,125.48,124.66,125.18
2017-01-03,125.24,125.57,125.21,125.26
2017-01-04,125.34,126.11,125.34,125.76
2017-01-05,125.77,126.65,125.77,126.5
2017-01-06,126.57,127.05,126.54,126.61
2017-01-09,126.68,127.29,125.59,125.59
2017-01-10,125.56,125.56,124.96,125.26
2017-01-11,125.35,125.82,124.5,124.58
2017-01-12,124.59,125.27,124.59,125.01
2017-01-13,124.95,124.95,124.53,124.82
2017-01-16,124.82,125.01,124.01,124.01
2017-01-17,124.02,124.52,124.02,124.51
2017-01-18,124.5,125.31,124.5,125.28
2017-01-19,125.29,125.93,125.27,125.39
2017-01-20,125.39,125.88,125.12,125.16
2017-01-23,125.25,126.14,125.25,125.97
2017-01-24,126.03,126.32,125.86,126.0
2017-02-02,126.11,126.99,126.11,126.83
2017-02-03,126.88,128.09,126.88,128.07
2017-02-06,128.18,129.35,128.18,129.15
2017-02-07,129.19,129.74,129.19,129.59
2017-02-08,129.62,130.6,129.62,130.51
2017-02-09,130.6,131.51,130.6,131.31
2017-02-10,131.37,132.29,130.8,130.8
2017-02-13,130.91,131.79,130.91,131.59
2017-02-14,131.59,132.38,130.83,131.15
2017-02-15,131.2,132.01,131.2,131.75
2017-02-16,131.78,132.73,131.78,132.26
2017-02-17,132.41,133.53,132.41,133.47
2017-02-18,133.67,135.21,133.67,135.02
2017-02-20,134.96,135.87,134.08,134.08
2017-02-21,134.03,134.53,132.76,133.79
2017-02-22,133.99,134.92,133.99,134.58
2017-02-23,134.65,135.51,134.65,134.68
2017-02-24,134.71,135.01,134.53,134.77
2017-03-01,134.71,135.31,134.04,134.06
2017-03-02,134.23,135.23,133.42,133.75
2017-03-03,133.73,134.37,133.72,134.2
2017-03-06,134.15,135.15,134.15,135.15
2017-03-07,135.19,136.19,135.19,135.86
2017-03-08,135.88,136.1,135.33,135.64
2017-03-09,135.67,135.81,134.75,134.75
2017-03-10,134.62,134.69,132.6,134.02
2017-03-13,134.11,135.17,134.11,135.02
2017-03-14,135.11,135.82,135.11,135.67
2017-03-15,135.78,136.26,135.52,135.55
2017-03-16,135.71,136.68,135.71,136.13
2017-03-17,136.21,137.62,136.21,137.62
2017-03-20,137.64,138.25,137.63,137.7
2017-03-21,137.76,138.3,137.12,137.13
2017-03-22,136.94,137.62,135.42,137.62
2017-03-23,137.72,138.83,137.66,137.66
2017-03-24,137.75,138.3,137.26,137.26
2017-03-27,137.31,137.65,135.9,135.9
2017-03-28,136.13,136.78,132.64,134.19
2017-03-29,134.3,135.1,134.3,134.87
2017-03-30,134.94,135.53,134.94,135.31
2017-03-31,135.3,135.91,135.15,135.15
2017-04-05,135.18,136.36,135.18,136.36
2017-04-06,136.36,136.72,136.29,136.32
2017-04-07,136.38,137.1,135.49,136.56
2017-04-10,136.67,137.09,136.43,136.6
2017-04-11,136.68,136.97,134.44,134.44
2017-04-12,134.51,134.83,133.22,133.94
2017-04-13,133.94,134.38,133.18,133.18
2017-04-14,133.09,133.09,130.12,130.12
2017-04-17,130.17,131.14,128.6,129.99
2017-04-18,130.13,131.64,130.13,131.63
2017-04-19,131.58,131.72,131.16,131.42
2017-04-20,131.35,132.39,130.54,130.67
2017-04-21,130.82,131.91,130.82,131.34
2017-04-24,131.41,131.75,129.87,130.08
2017-04-25,130.2,131.48,130.2,131.48
2017-04-26,131.54,132.44,131.54,132.27
2017-04-27,132.27,132.83,132.27,132.68
2017-04-28,132.66,133.45,132.66,133.03
2017-05-02,133.05,133.7,133.04,133.1
2017-05-03,133.14,133.6,132.49,132.56
2017-05-04,132.63,133.32,132.63,133.3
2017-05-05,133.4,133.64,132.26,132.26
2017-05-08,132.28,132.81,131.83,131.85
2017-05-09,131.76,132.03,129.41,129.7
2017-05-10,129.69,131.19,129.69,131.19
2017-05-11,131.24,131.92,131.15,131.31
2017-05-12,131.26,132.05,131.26,131.74
2017-05-15,131.85,133.21,131.85,132.93
2017-05-16,133.06,133.61,132.04,132.42
2017-05-17,132.42,132.89,132.15,132.4
2017-05-18,132.18,132.2,130.88,132.16
2017-05-19,132.25,132.9,132.25,132.53
2017-05-22,132.6,133.26,132.6,132.93
2017-05-23,132.96,133.69,132.96,133.29
2017-05-24,133.37,134.39,133.37,134.29
2017-05-25,134.34,135.3,134.34,134.9
